Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
ENGL 2432 LEC 1,Narrative Essays,TR 1:00PM-2:50PM,Younis Bin Azeem,16W,4.0
ENGL 2713 LEC 1,Literature of Conflict,TR 2:00PM-3:50PM,Furrukh A. Khan,16W,4.0
POL 213 LEC 1,Literature of Conflict,TR 2:00PM-3:50PM,Furrukh A. Khan,16W,4.0
ENGL 3611 LEC 1,"I am an Arab: Social and Political
Dimensions in Contemporary Arab
Literature",TR 12:00PM-1:50PM,Farah Hasan Ali,16W,4.0
GSS 368 LEC 1,"I am an Arab: Social and Political
Dimensions in Contemporary Arab
Literature",TR 12:00PM-1:50PM,Farah Hasan Ali,16W,4.0
ENGL 3852 LEC 1,"Strange Horizons: Speculative Fictions
and Other Worlds",TR 10:00AM-11:50AM,Tom Edward Sewel,16W,4.0
ENGL 4572 LEC 1,"Colonial Discourse and Postcolonial
Theory",MW 10:00AM-11:50AM,Sadia Zulfiqar,16W,4.0
ENV 102 LEC 1,Introduction to Environmental Studies,TR 2:00PM-3:50PM,Sana Khosa,16W,4.0
ENV 210 LEC 1,Methods in Environmental Studies,MW 2:30PM-4:20PM,Fazilda Nabeel,16W,4.0
ENV 322 LEC 1,Environmental Governance,MW 2:00PM-3:50PM,Sana Khosa,16W,4.0
POL 338 LEC 1,Environmental Governance,MW 2:00PM-3:50PM,Sana Khosa,16W,4.0
ENV 334 LEC 1,Politics of Water,MW 12:30PM-2:20PM,Fazilda Nabeel,16W,4.0
POL 355 LEC 1,Politics of Water,MW 12:30PM-2:20PM,Fazilda Nabeel,16W,4.0
ENV 442 LEC 1,Conceptualizing Cities,TR 2:00PM-3:50PM,Maryam Ibrahim,16W,4.0
SOC 482 LEC 1,Conceptualizing Cities,TR 2:00PM-3:50PM,Maryam Ibrahim,16W,4.0
FINN 100 LEC 1,Principles of Finance,MW 11:00AM-12:15PM,Bushra Naqvi,16W,3.0
FINN 100 LEC 2,Principles of Finance,MW 12:30PM-1:45PM,Bushra Naqvi,16W,3.0
FINN 100 LEC 3,Principles of Finance,TR 9:30AM-10:45AM,Salman Khan,16W,3.0
FINN 100 LEC 4,Principles of Finance,TR 11:00AM-12:15PM,Salman Khan,16W,3.0
FINN 100 LEC 5,Principles of Finance,MW 9:30AM-10:45AM,Salman Khan,16W,3.0
FINN 100 LEC 6,Principles of Finance,TR 12:30PM-1:45PM,Zainab Mehmood,16W,3.0
FINN 100 LEC 7,Principles of Finance,TR 2:00PM-3:15PM,Zainab Mehmood,16W,3.0
FINN 200 LEC 1,Intermediate Finance,MW 8:00AM-9:15AM,"Syed Hashim Mahmood
Ali",16W,3.0
FINN 222 LEC 1,"Introduction to Mathematics of
Finance",TR 9:30AM-10:45AM,Ayesha Ahmad,16W,3.0
