Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
ACCT 100 LEC 1,Principles of Financial Accounting,MW 12:30PM-1:45PM,Zainab Mehmood,16W,3.0
ACCT 100 LEC 2,Principles of Financial Accounting,TR 5:00PM-6:15PM,TBA,16W,3.0
ACCT 130 LEC 1,Principles of Management Accounting,TR 11:00AM-12:15PM,Saira Rizwan,16W,3.0
ACCT 220 LEC 1,Corporate Financial Reporting I,TR 8:00AM-9:15AM,Nafeh Akbar,16W,3.0
ACCT 250 LEC 1,Auditing,MW 12:30PM-1:45PM,Syed Zain ul Abidin,16W,3.0
ACCT 250 LEC 2,Auditing,MW 2:00PM-3:15PM,Syed Zain ul Abidin,16W,3.0
ACCT 250 LEC 3,Auditing,TR 12:30PM-1:45PM,Syed Zain ul Abidin,16W,3.0
ACCT 250 LEC 4,Auditing,TR 2:00PM-3:15PM,Syed Zain ul Abidin,16W,3.0
ACCT 320 LEC 1,Corporate Financial Reporting II,MW 11:00AM-12:15PM,Samia Ahmed Ali,16W,3.0
ACCT 320 LEC 2,Corporate Financial Reporting II,MW 12:30PM-1:45PM,Samia Ahmed Ali,16W,3.0
ACCT 320 LEC 3,Corporate Financial Reporting II,TR 11:00AM-12:15PM,Samia Ahmed Ali,16W,3.0
ACCT 320 LEC 4,Corporate Financial Reporting II,TR 12:30PM-1:45PM,Samia Ahmed Ali,16W,3.0
ACCT 362 LEC 1,"Fraud Examination and Forensic
Accounting",MW 9:30AM-10:45AM,Abdul Rauf,16W,3.0
ACCT 370 LEC 1,Applied Taxation,MW 12:30PM-1:45PM,Huzaima Bukhari,16W,3.0
ACCT 370 LEC 2,Applied Taxation,MW 2:00PM-3:15PM,Huzaima Bukhari,16W,3.0
ACCT 411 LEC 1,Applied Financial Analysis,TR 9:30AM-10:45AM,Saira Rizwan,16W,3.0
ACF 5101 LEC 1,Financial Management and Accounting,FSU 1:30PM-3:30PM,Syed Mubashir Ali,16W,3.0
AI 600 LEC 1,Deep Learning,U 9:00AM-12:00PM,Momin Ayub Uppal,16W,3.0
AI 620 LEC 1,Fundamentals of Data Engineering,S 9:00AM-12:00PM,Hassan Mohy-ud-Din,16W,3.0
AI 621 LEC 1,"Scalable AI Systems: MLOps,
LLMOps, and Agentic Systems",S 9:00AM-12:00PM,Ali Khawaja,16W,3.0
AI 623 LEC 1,Deep Vision-Language Models,U 2:00PM-5:00PM,Muhammad Tahir,16W,3.0
AI 641 LEC 1,"Think, Learn, Move: AI for Robotics",S 2:00PM-5:00PM,Hassan Jaleel,16W,3.0
ANTH 100 LEC 1,Introduction to Cultural Anthropology,TR 10:00AM-11:50AM,Dominic William Esler,16W,4.0
ANTH 263 LEC 1,Food and Culture,TR 2:00PM-3:50PM,Sadaf Ahmad,16W,4.0
ANTH 310 LEC 1,Classical Anthropological Theory,TR 2:00PM-3:50PM,Dominic William Esler,16W,4.0
ANTH 423 LEC 1,World Through a Trickster's Eyes,TR 2:00PM-3:50PM,Ameem Lutfi,16W,4.0
CLCA 4403 w/ ANTH 423,World Through a Trickster's Eyes,TR 2:00PM-3:50PM,Ameem Lutfi,16W,4.0
HIST 4322 w/ ANTH 423,World Through a Trickster's Eyes,TR 2:00PM-3:50PM,Ameem Lutfi,16W,4.0
AST 104 LEC 1,The Universe Around Us,MW 12:00PM-1:15PM,TBA,16W,3.0
BIO 100 LAB 1,Biology Laboratory,M 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 1,Biology Laboratory,M 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 2,Biology Laboratory,T 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 2,Biology Laboratory,T 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 3,Biology Laboratory,W 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LAB 4,Biology Laboratory,R 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 4,Biology Laboratory,R 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 5,Biology Laboratory,M 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 5,Biology Laboratory,M 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 6,Biology Laboratory,T 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 6,Biology Laboratory,T 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 7,Biology Laboratory,W 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 7,Biology Laboratory,W 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 100 LAB 8,Biology Laboratory,R 10:00AM-12:50PM,Khalida Mazhar,16W,1.0
BIO 100 LEC 8,Biology Laboratory,R 9:00AM-9:50AM,Muhammad Tariq,16W,1.0
BIO 101 LEC 1,Introductory Biology,TR 2:30PM-3:45PM,Amir Faisal,16W,3.0
BIO 212 LEC 1,Biochemistry,TR 12:30PM-1:45PM,Faiz Ul Hassan Nasim,16W,3.0
CHEM 251 w/ BIO 212,Biochemistry,TR 12:30PM-1:45PM,Faiz Ul Hassan Nasim,16W,3.0
BIO 231 LEC 1,Computational Biology I,TR 4:30PM-5:45PM,Safee Ullah Chaudhary,16W,3.0
CS 232 w/ BIO 231,Computational Biology I,TR 4:30PM-5:45PM,Safee Ullah Chaudhary,16W,3.0
BIO 314 LEC 1,Virology and Microbiology,TR 2:00PM-3:15PM,Shaper Mirza,16W,3.0
BIO 402 SEM 1,Seminar in Biology II,F 10:30AM-11:20AM,Khurram Bashir,16W,1.0
BIO 415 LEC 1,Developmental Biology I,TR 12:00PM-1:50PM,Muhammad Tariq,16W,4.0
BIO 515 w/ BIO 415,Eukaryotic Development,TR 12:00PM-1:50PM,Muhammad Tariq,16W,4.0
BIO 621 LEC 1,Genetics and Genomics,TR 4:30PM-5:45PM,Muhammad Tariq,16W,3.0
CHE 230 LEC 1,"Chemical Engineering
Thermodynamics",TR 4:00PM-5:15PM,Faheem Hassan Akhtar,16W,3.0
CHE 262 LEC 1,Particle Science and Engineering,TR 12:00PM-1:15PM,Tauqeer Abbas,16W,3.0
CHE 273 LEC 1,Fluid Mechanics,MW 10:00AM-11:15AM,Qasim Imtiaz,16W,3.0
PHY 362 w/ CHE 273,Fluid Mechanics,MW 10:00AM-11:15AM,Qasim Imtiaz,16W,3.0
CHE 300B LAB 1,Chemical Engineering Lab III,T 2:30PM-5:20PM,Syed Qamber Ali Zaidi,16W,1.0
CHE 300C LAB 1,Chemical Engineering Lab IV,F 9:00AM-11:50AM,Hafiz Muhammad Afzal,16W,1.0
CHE 313 LEC 1,Material Science and Engineering,TR 4:30PM-5:45PM,Salman Noshear Arshad,16W,3.0
CHE 315 LEC 1,Chemical Process Simulation,TR 5:00PM-5:50PM,Asif Nadeem Tabish,16W,2.0
CHE 330 LEC 1,"Math Methods in Chemical
Engineering II",MW 8:00AM-9:15AM,Usman Bin Shahid,16W,3.0
CHE 360 LEC 1,"Chemical Kinetics and Reaction
Engineering",MW 9:30AM-10:45AM,Ali Rauf,16W,3.0
CHE 390 LEC 1,Transport Phenomena,MW 4:30PM-5:45PM,Qasim Imtiaz,16W,3.0
CHE 412 LEC 1,Membrane Science and Engineering,TR 11:00AM-12:15PM,Faheem Hassan Akhtar,16W,3.0
CHE 415 LEC 1,"Renewable Energy: Applications and
Economics",TR 8:00AM-9:15AM,Tauqeer Abbas,16W,3.0
CHE 430 LEC 1,Chemical Process Control,TR 9:00AM-10:15AM,Qandeel Almas,16W,3.0
CHE 480 LEC 1,Chemical Process Design II,T 12:30PM-1:20PM,Qandeel Almas,16W,3.0
CHE 480 LAB 1,Chemical Process Design II,TR 2:00PM-4:50PM,Qandeel Almas,16W,3.0
CHE 512 LEC 1,Biochemical Engineering,MW 2:00PM-3:15PM,Shahana Khurshid,16W,3.0
CHE 710 LEC 1,"Transport Processes in the
Environment",MW 12:00PM-1:15PM,Qasim Imtiaz,16W,3.0
CHE 712 LEC 1,Advanced Reaction Engineering,MW 9:30AM-10:45AM,Ali Rauf,16W,3.0
CHE 713 LEC 1,Engineering Thermodynamics,MW 4:00PM-5:15PM,Faheem Hassan Akhtar,16W,3.0
CHEM 100 LAB 1,Experimental Chemistry,M 10:00AM-12:50PM,Basit Yameen,16W,1.0
CHEM 100 LEC 1,Experimental Chemistry,M 9:00AM-9:50AM,Basit Yameen,16W,1.0
CHEM 100 LAB 2,Experimental Chemistry,T 10:00AM-12:50PM,Basit Yameen,16W,1.0
CHEM 100 LEC 2,Experimental Chemistry,T 9:00AM-9:50AM,Basit Yameen,16W,1.0
CHEM 100 LAB 3,Experimental Chemistry,W 10:00AM-12:50PM,Basit Yameen,16W,1.0
CHEM 100 LEC 3,Experimental Chemistry,W 9:00AM-9:50AM,Basit Yameen,16W,1.0
CHEM 100 LAB 4,Experimental Chemistry,R 10:00AM-12:50PM,Basit Yameen,16W,1.0
CHEM 100 LEC 4,Experimental Chemistry,R 9:00AM-9:50AM,Basit Yameen,16W,1.0
CHEM 100 LAB 5,Experimental Chemistry,M 10:00AM-12:50PM,Basit Yameen,16W,1.0
